,Subject,obs,block,MMI,slope,IntersectionY,X_allocation,Y_allocation,RT,SV,ChoiceDifficulty
67,126,68,3,0.020365428523580698,-0.5929285925064885,49.719476000711595,40.4,25.8,4.898246599078397,18.616065869257298,0.04556394592736089
68,126,69,3,0.007276078552836296,-1.1467227863482434,86.2393907614375,35.3,45.8,5.039904247435253,21.982513166434234,0.04265929055129903
69,126,70,3,7.197718378371132e-05,-3.6485586526009204,70.3723065412974,0.6,68.3,4.97939116220732,15.272295624667116,0.18916647919709945
70,126,71,3,0.004682188706006674,-0.2102976546108258,11.177819171063474,53.2,0.0,6.0038844388498225,12.207918176518413,0.3050258205631859
71,126,72,3,0.007571367311621335,-1.6066359477573546,55.80232645408182,16.5,29.3,4.880420079662994,13.928607356103921,0.04708461977833185
72,126,73,3,0.006024581700613041,-0.22733518029401503,19.60030031604202,86.2,0.0,6.210386376088423,17.667945847073106,0.24215081724459606
73,126,74,3,0.0006505982812856637,-3.5942340857823645,89.01334441613639,0.6,86.9,4.75216054553605,18.267240470398377,0.17459495457109786
74,126,75,3,0.11743002906790356,-0.42036259407029136,21.91346463501883,22.2,12.6,4.979004771025491,11.29166587688811,0.09459261367186439
0,127,1,1,0.021842553840018653,-3.69927436,82.83852685,0.8,79.8,4.403172633844547,32.4895943598264,0.6248836205996611
1,127,2,1,5.662137425588298e-15,-0.10557622706487796,6.0730768089187865,57.5,0.0,5.991832656394095,23.637975509030024,1.8336631683140563
2,127,3,1,0.012122773850658741,-0.2102976546108258,11.177819171063474,52.1,0.2,5.689000378844479,21.685281860372523,0.8679732904131341
3,127,4,1,0.004388097428938309,-0.971417969,63.01113657,34.3,29.7,6.453875911075692,27.009600289246762,0.009439855997259532
4,127,5,1,0.0006383052025085156,-0.7499713511226372,60.24468525966624,80.2,0.1,4.779801400969903,32.271163030228664,0.08795715683649596
5,127,6,1,5.310122341839474e-10,-0.2509650150191581,19.97975919731295,79.6,0.0,5.3093945884103775,31.984849986933195,0.6871788076127323
6,127,7,1,4.4364512064021255e-13,-0.14700247509576803,10.800976747188873,73.5,0.0,8.418066806431602,29.69944121857501,1.2626135069904076
7,127,8,1,2.3981089336544414e-09,-3.5561062066981015,85.71728274512597,0.0,85.7,6.761194854356183,34.257989876192035,0.5943935808125357
8,127,9,1,7.904787935331115e-14,-7.747363700299336,57.362153324413356,0.0,57.4,6.163178127844164,23.59974830950351,1.4625511537119085
9,127,10,1,4.0241521226391797e-10,-0.24576772925779386,19.67889971944904,80.1,0.0,4.724504596696657,32.17162091693056,0.7028651185333517
10,127,11,1,0.008780924208566687,-0.8893541665880802,51.79325787156424,40.3,16.0,6.167986584981156,23.955510845533595,0.029847976735815827
11,127,12,1,4.937335839061419e-07,-0.42036259407029136,21.91346463501883,52.1,0.0,4.772977974193295,21.566791928323408,0.35867318521686364
12,127,13,1,3.1872282590938994e-12,-0.17058944906455256,11.352882841579481,66.6,0.0,3.41492979302413,27.098132759766106,1.0782228293653802
13,127,14,1,3.885780586188048e-15,-0.10285323899419012,9.128995304581643,88.8,0.0,6.485160314606945,35.408794907711304,1.8042323129818731
14,127,15,1,1.4706902362604524e-11,-0.1914563408698669,15.861423251007745,82.8,0.0,4.431812974593271,33.17878419874142,0.9345523279007318
15,127,16,1,5.566024924541502e-05,-1.665344072577449,95.10443320755034,0.0,95.1,5.838690133893601,37.73895820825911,0.17521572932171992
16,127,17,1,2.0420757185224403e-06,-0.4679019484417305,25.87701060154425,55.3,0.0,5.188141413135187,22.795883870438864,0.30047029105685286
17,127,18,1,4.901135053358985e-11,-0.209662599138945,20.884650808978556,99.6,0.0,4.026579185288155,39.39669560590155,0.8313107738479838
18,127,19,1,0.0017534617136751862,-0.9999388802257279,83.79798314402173,41.8,42.0,6.008413969852432,34.673278467088,0.00583393005517722
19,127,20,1,0.0024484916204275953,-1.6393405328728954,80.4632906126206,0.9,78.9,4.6024403018077376,32.20302976483827,0.17068377723941447
20,127,21,1,1.7067274260540444e-09,-3.6485586526009204,70.3723065412974,0.0,70.4,5.225770782487423,28.53295873295578,0.6221318170651874
21,127,22,1,9.602064104208274e-05,-0.625715827,37.92609117,60.6,0.0,5.5981027589235985,24.820746868247856,0.16391826033367243
22,127,23,1,8.912006266004191e-05,-0.6222018078846381,44.22560285571172,71.1,0.0,3.9989012000766744,28.796667595496903,0.16434361211542783
23,127,24,1,3.8190362239287623e-07,-0.41229370523139536,24.147000593946366,58.6,0.0,3.462804264188933,24.058168720424433,0.36637226621874863
24,127,25,1,0.00015486923595608992,-1.5414961370508744,85.23425057431028,0.0,85.2,4.5012311690899125,34.072105165976936,0.1445419382613911
25,127,26,2,0.00237545452850485,-1.1034537254739332,89.01787996017465,5.2,83.3,4.067402319252695,35.816169257709745,0.02369088815795232
26,127,27,2,0.002711217079653494,-0.6129832640746252,44.784628485448174,71.6,0.9,4.077851182040055,29.464716991549757,0.17013885536481543
27,127,28,2,0.0009581499423089168,-1.8759983497882171,98.6953705340496,0.3,98.2,5.691567767126864,39.05427888821318,0.2266180567337581
28,127,29,2,0.019049387265429707,-2.3526742304768438,51.46836746244342,1.0,49.2,5.038374983585921,20.977530173904896,0.3516978694170811
29,127,30,2,0.009663700602162595,-2.313339545064245,73.21503920380779,0.8,71.4,5.243823099249707,29.339655967118357,0.33395278540460177
30,127,31,2,4.789710252639523e-06,-0.4989943517013845,42.560204580165475,85.3,0.0,4.234409342214293,34.10928821766648,0.25972910654461134
31,127,32,2,1.4214185384275879e-11,-0.19096456422142602,18.362615100487645,96.2,0.0,4.801297731008345,38.14468160407755,0.9254756642083949
32,127,33,2,0.00268744676463617,-0.805715176714275,48.27825062604894,59.9,0.0,4.575370580839525,24.554048414883724,0.06267510563355984
33,127,34,2,0.00020316201475767404,-0.662162393149834,46.526452976666576,70.3,0.0,4.171569759456396,28.49527105866932,0.1383805696209814
34,127,35,2,1.6573057329161145e-05,-1.8248143591708081,96.67506287884397,0.0,96.7,5.023620575934169,38.328993516181676,0.21450632913048887
35,127,36,2,3.157814864740427e-05,-0.5753259157991375,30.410901977333072,52.9,0.0,3.672496343622508,21.87454938671499,0.20220579051985116
36,127,37,2,0.0015938702779106917,-1.5597846277285476,81.18417213340767,0.9,79.8,4.437298823770906,32.53936574639834,0.14984578330489576
