Subject,block,obs,MMI,slope,IntersectionY,X_allocation,Y_allocation,RT,SV,ChoiceDifficulty,logMMI
101,1,13.0,0.02467990877568477,-1.9278248994668485,54.32386391091402,33.812,32.484,4.774122082008643,16.330604014544836,0.15705024306982157,-3.7017657762368392
101,2,38.0,0.019442639252263697,-1.6187511783228594,56.760246874087116,31.276,36.172,5.386980478904974,16.310364200095375,0.1623914972911714,-3.9402867251596083
101,3,63.0,0.025214186284625018,-1.0705088289186362,52.305215138930144,47.272,26.5,5.336541891204941,17.315489753236744,0.1570076397346606,-3.6803484950578507
102,1,13.0,0.015101649482322031,-1.6046745602557018,47.5336936055653,36.332,28.912,6.3583321590695725,12.931836508002563,0.12573275945355472,-4.192951303887342
102,2,38.0,0.012087353780396538,-1.5186487591373146,51.18105504857694,36.508,27.811999999999998,6.133793427383106,13.12538248234545,0.08730369467020661,-4.415595515037294
102,3,63.0,0.007900254457287313,-1.4937615873153276,64.67457726978904,33.08,40.92,6.779604070861535,14.319568609066744,0.07395049452866542,-4.840860310244681
105,1,13.0,0.020848900368518143,-2.1169518596197774,60.21954880298259,31.528000000000002,36.416,6.368734481337759,12.246583160138025,0.08493726745074434,-3.8704540722471696
105,2,38.0,0.021469788759503557,-0.7446548403618626,41.84537896539386,44.068000000000005,19.392,6.302134781092793,11.8059559334247,0.08048816649773645,-3.841108506007872
105,3,63.0,0.03146954684502973,-1.755478206726704,61.324398155554825,23.162499999999998,43.31666666666666,6.378299544229463,12.287523703317163,0.07276146809051753,-3.45873496759546
106,1,13.0,0.01666242001560324,-1.8068242409567916,62.291989127011846,28.78,36.616,6.775452131079646,14.150646214031148,0.0866745867999993,-4.094599393752703
106,2,38.0,0.018113509641965234,-1.1483711318899397,50.92591130776765,37.308,26.375999999999998,6.533264825971539,14.294253223712783,0.09234501637626298,-4.011097230061292
106,3,63.0,0.019840410929482796,-1.6618895338616126,50.17142548915179,32.84,26.531999999999996,6.8269804940571746,13.14290984676447,0.10439496795696789,-3.9200344651683925
107,1,13.0,0.028400097656150935,-1.667959067789801,58.38051755595379,31.704,33.496,6.438185655715189,15.854801698439125,0.1059381307828093,-3.561362695224025
107,2,38.0,0.01820622530357229,-1.5185887538292535,54.9828115483388,38.688,31.74,6.593106406973817,16.266949476352103,0.1548561235108391,-4.005991693738203
107,3,63.0,0.029058072408997892,-1.4305370850892891,50.02599681963869,38.908,29.248,6.492402831015108,15.16121298359348,0.1460137567467451,-3.538458954457855
108,1,13.0,0.03774297638326901,-1.6191004295101807,51.038223651705266,27.74,29.404,5.665553684660465,13.09207659272647,0.10121240368602662,-3.2769558766700255
108,2,38.0,0.026769536018438917,-1.3351666804637932,58.21157733076958,31.291999999999998,30.44,5.842076170317328,13.921598612203375,0.08725590993286972,-3.6204907537465525
108,3,63.0,0.02286943084171497,-1.66281779673437,54.139524941456436,30.616,30.464000000000002,5.338404266687275,13.781135858106847,0.09354508195357894,-3.7779541579333404
109,1,13.0,0.058343365147274326,-1.2701913685775756,55.05970967729568,19.732,32.6,5.58730451976122,-3.812008528684385,0.012226212467528932,-2.841409634559284
109,2,38.0,0.07889221944960985,-2.1403412905744723,59.10955340859589,19.06,29.68,5.151347234485725,-3.8876083763080955,0.016220309084268865,-2.5396726687988296
109,3,63.0,0.15145894207057117,-1.2065522475562955,49.22006283803971,23.896,28.268,4.850435107579222,-3.8913074237487937,0.013035379890622804,-1.8874407001975801
