Subject,VMPFC__VSTR,M1_R__VSTR,M1_R__VMPFC,M1_L__VSTR,M1_L__VMPFC,M1_L__M1_R,SMA_R__VSTR,SMA_R__VMPFC,SMA_R__M1_R,SMA_R__M1_L,SMA_L__VSTR,SMA_L__VMPFC,SMA_L__M1_R,SMA_L__M1_L,SMA_L__SMA_R,preSMA_R__VSTR,preSMA_R__VMPFC,preSMA_R__M1_R,preSMA_R__M1_L,preSMA_R__SMA_R,preSMA_R__SMA_L,preSMA_L__VSTR,preSMA_L__VMPFC,preSMA_L__M1_R,preSMA_L__M1_L,preSMA_L__SMA_R,preSMA_L__SMA_L,preSMA_L__preSMA_R,dACC__VSTR,dACC__VMPFC,dACC__M1_R,dACC__M1_L,dACC__SMA_R,dACC__SMA_L,dACC__preSMA_R,dACC__preSMA_L,PCC__VSTR,PCC__VMPFC,PCC__M1_R,PCC__M1_L,PCC__SMA_R,PCC__SMA_L,PCC__preSMA_R,PCC__preSMA_L,PCC__dACC
115,0.2900379,0.2185774,0.3486507,0.2245938,0.3159318,0.9421942,0.1498175,0.2840265,0.7649649,0.6324069,0.1944346,0.317341,0.7560962,0.7816591,0.70201,0.02000687,-0.06664518,-0.04427252,-0.103243,0.2200514,0.09846486,0.2087925,0.3057715,0.2055311,0.1651635,0.2490161,0.3424866,0.3160098,0.2394165,0.4185783,0.05332189,0.05389442,0.09047216,0.1604316,0.1788723,0.3703641,0.128884,0.3452819,0.2783321,0.2056656,0.2497305,0.2196247,0.05595522,0.1921787,0.2725095
116,0.1506186,0.2674304,-0.06303067,0.2069485,0.1655425,0.5218543,0.2875807,0.1958004,0.5784822,0.5445753,0.2606381,0.08181771,0.492179,0.412828,0.6317291,0.2997153,-0.1750559,0.5662552,0.3224224,0.4057567,0.647008,0.1453553,-0.1402795,0.4051277,0.287027,0.3767567,0.5277022,0.4511448,0.1441088,0.06577541,0.1699268,0.1342004,0.1979052,0.1893467,0.2288321,0.2090919,0.1972224,0.2562438,0.1991924,0.1573703,0.2808211,0.06909749,0.03968664,-0.1099506,0.1153503
117,0.01628425,-0.02319204,0.01451715,-0.1093311,0.08220842,0.1756242,0.09985646,-0.0762241,0.4795787,0.3589253,-0.004265834,-0.1517192,0.292345,0.4699523,0.6884574,-0.03965041,-0.467514,0.359059,0.2097137,0.461763,0.3927131,0.02467113,-0.2830721,0.2027928,0.1877161,0.3839662,0.5031285,0.5429357,-0.09038985,-0.1054014,0.1922082,0.09180322,0.2097659,0.2398137,0.3968853,0.5584372,0.104361,0.2115249,0.08506659,0.03424926,0.05951886,0.04152381,-0.1707068,-0.02283377,0.04695317
118,0.08648094,0.2098649,0.3125981,0.1421177,0.4098114,0.9028232,0.2055819,0.2163738,0.6831005,0.602706,0.1981166,0.1653725,0.664958,0.6194024,1.084845,0.2007507,-0.06347904,0.4192638,0.3254716,0.6792241,0.5691729,0.2078987,0.1717089,0.4092626,0.3200357,0.5593905,0.6374391,0.6194844,0.2195877,0.3971788,0.3365637,0.263464,0.4007521,0.3378112,0.4168723,0.569125,0.0935206,0.3321757,0.3962772,0.3776397,0.2336011,0.1922649,0.2301224,0.07993188,0.1461124
120,0.3707684,0.224114,0.3832124,0.1244995,0.2342264,0.4755732,0.2135196,0.2071689,0.5803193,0.5405689,0.1748471,0.204625,0.4986698,0.6143015,0.721654,0.1584518,0.06045249,0.2784094,0.3511728,0.5996163,0.4924785,0.1202146,0.0840959,0.292759,0.389097,0.4718837,0.5887681,0.6559634,0.2109495,0.2592757,0.1864555,0.1031968,0.1764834,0.2730582,0.3662419,0.5075278,0.261754,0.7179655,0.2743087,0.2866068,0.2380317,0.2053819,0.08769871,0.07297783,0.1556881
121,0.07527271,-0.0377426,0.1847044,0.001586775,0.1975283,0.903877,-0.05871688,0.128342,0.4819077,0.5155935,-0.06378779,0.08800943,0.4122686,0.4553541,0.4878566,0.1018839,0.005180943,-0.08450308,-0.07425623,0.1365247,0.1171552,0.05913184,-0.02592293,-0.06776265,-0.0417107,0.1843225,0.247686,0.3721343,0.1620608,0.1890438,-0.05687463,-0.00420369,-0.01021721,-0.005535174,0.2658608,0.2178815,0.04478792,0.6445482,0.03339691,0.04061695,-0.0326973,-0.07530458,0.05852417,0.03141574,0.3650563
122,0.2679352,0.2781156,0.3041857,0.2717057,0.2765906,0.7958117,0.2285111,0.2817416,0.7188251,0.5534766,0.2639932,0.3411538,0.6232259,0.6350645,0.7228866,0.3465021,0.3040408,0.7138152,0.6510478,0.7434416,0.6420874,0.3881593,0.3457163,0.5971004,0.6316577,0.5173082,0.7176358,0.7267896,0.3091287,0.4607368,0.5026826,0.5023316,0.4836038,0.5698789,0.6040615,0.6451508,0.2438855,0.2769197,0.3182688,0.327404,0.2244148,0.1511711,0.3349794,0.2720605,0.2471529
123,0.09365194,0.1825187,0.185681,0.1498604,0.2144287,0.9095966,0.1177752,0.1904009,0.6412982,0.6338841,0.1648794,0.1397629,0.5610548,0.6149205,0.7548336,0.1771457,-0.1744746,0.1857226,0.1022261,0.3886176,0.4394883,0.1455813,-0.008970845,0.2897148,0.3282749,0.2904487,0.5054746,0.2355324,0.29221,0.06882782,0.1369257,0.1045821,0.09010051,0.1763605,0.2822652,0.3669874,0.0578926,0.2953013,0.04135885,-0.007982805,0.1040822,0.1428265,0.07326278,-0.06126092,0.1452741
124,-0.0637238,-0.03804116,-0.01626688,0.07165889,-0.01637642,0.5467023,-0.04345925,0.03255251,0.2864056,0.2852126,-0.008633791,-0.01291268,0.3177299,0.2664188,0.465817,0.0136116,0.04050546,0.1667501,0.1777304,0.3337415,0.2690777,0.07817434,-0.001725008,0.1395885,0.1086731,0.2265959,0.4186882,0.4861256,0.02774556,-0.02670398,0.04562001,0.08572319,0.02828392,0.1460374,0.3393444,0.250147,0.02980725,0.1082681,0.2279925,0.2442781,0.1047962,0.007568019,0.02491066,-0.1672235,0.05424853
125,-0.01732968,0.01609416,0.3154977,-0.007227627,0.2505786,0.8513244,0.04280916,0.1028169,0.5848053,0.5643166,-0.04675248,0.2707496,0.7025549,0.7431403,0.7712955,0.07023765,0.12459,0.4125347,0.3441002,0.4093146,0.3109083,0.1309373,-0.08801805,0.3156868,0.2252791,0.2368719,0.2726338,0.4217256,0.08037094,0.4242314,0.3642505,0.2477064,0.2081706,0.3027911,0.3539829,0.2185366,0.0009463452,0.3106954,0.4065617,0.372614,0.2250139,0.3236453,0.1119647,0.1790483,0.2538131
