,Feature,Beta,Node1,Node2
4882,LH_Cont_Par_1__LH_SomMot_6,0.002485791106435992,34.0,15.0
4881,LH_Default_pCunPCC_1__LH_SomMot_3,0.0024687609469768953,49.0,12.0
4880,RH_Default_Temp_1__LH_DorsAttn_Post_6,0.002454151726690904,91.0,21.0
4879,RH_Default_Temp_2__LH_SalVentAttn_Med_3,0.002424446306377279,92.0,30.0
4878,RH_Limbic_TempPole_1__LH_SalVentAttn_ParOper_1,0.0023239677129931954,80.0,24.0
4877,RH_SomMot_6__LH_Limbic_TempPole_1,0.0022676035307171646,64.0,32.0
4876,RH_DorsAttn_Post_4__LH_Vis_4,0.0022379892198641574,70.0,4.0
4875,RH_Cont_Par_1__LH_Limbic_TempPole_2,0.0022320197313671643,81.0,33.0
4874,RH_Limbic_TempPole_1__LH_DorsAttn_PrCv_1,0.002223916554498092,80.0,22.0
4873,RH_DorsAttn_Post_5__LH_Limbic_TempPole_2,0.0021614571819168894,71.0,33.0
4872,RH_SomMot_7__LH_Default_PFC_7,0.002141983653513251,65.0,48.0
4871,RH_Vis_5__LH_SomMot_4,0.00212333479648535,55.0,13.0
4870,RH_SalVentAttn_FrOperIns_1__LH_Default_pCunPCC_1,0.002120497023080756,76.0,49.0
4869,LH_Limbic_OFC_1__LH_SalVentAttn_FrOperIns_2,0.0019957651899322353,31.0,26.0
4868,RH_Cont_PFCl_1__RH_DorsAttn_Post_2,0.001981978966396359,83.0,68.0
4867,LH_SomMot_5__LH_Vis_4,0.001978885825461259,14.0,4.0
4866,RH_Limbic_TempPole_1__RH_DorsAttn_PrCv_1,0.001957170324904757,80.0,72.0
4865,LH_Cont_Par_1__LH_DorsAttn_Post_2,0.0019546801675173905,34.0,17.0
4864,LH_Default_PFC_7__LH_Default_PFC_2,0.0019392304424727226,48.0,43.0
4863,RH_SalVentAttn_TempOccPar_1__LH_Vis_9,0.001931199386795971,74.0,9.0
4862,LH_Limbic_TempPole_2__LH_Vis_8,0.0019149823000292703,33.0,8.0
4861,RH_Vis_3__LH_Limbic_TempPole_2,0.0018854426818228187,53.0,33.0
4860,RH_Cont_Par_2__LH_SomMot_6,0.0018792067926891635,82.0,15.0
4859,RH_Default_Temp_1__RH_DorsAttn_Post_4,0.0018737174990983187,91.0,70.0
4858,RH_Default_pCunPCC_1__LH_Cont_pCun_1,0.0018396102460982175,99.0,36.0
4857,RH_Cont_Par_2__RH_SomMot_8,0.0018391608996617438,82.0,66.0
4856,RH_SomMot_8__LH_Default_PFC_5,0.0018385897203626433,66.0,46.0
4855,RH_Cont_Cing_1__LH_DorsAttn_Post_3,0.0017986620979363994,87.0,18.0
4854,RH_Cont_PFCl_4__LH_Vis_4,0.0017848505850476283,86.0,4.0
4853,LH_SalVentAttn_PFCl_1__LH_SomMot_2,0.0017596638953769701,27.0,11.0
4852,RH_DorsAttn_Post_4__LH_Limbic_TempPole_1,0.0017322149860981122,70.0,32.0
4851,LH_Default_PFC_6__LH_Limbic_TempPole_2,0.0017185724261942737,47.0,33.0
4850,RH_Default_PFCdPFCm_3__LH_Default_Par_2,0.0017168621696642165,98.0,41.0
4849,RH_Cont_PFCl_1__LH_SalVentAttn_Med_1,0.0016883987051316874,83.0,28.0
4848,LH_Limbic_TempPole_2__LH_DorsAttn_Post_1,0.001685628210167723,33.0,16.0
4847,RH_DorsAttn_Post_3__RH_DorsAttn_Post_2,0.001653517062941122,69.0,68.0
4846,RH_DorsAttn_Post_2__LH_DorsAttn_Post_6,0.0016528389471442298,68.0,21.0
4845,LH_Default_pCunPCC_1__LH_SomMot_5,0.0016456154102410445,49.0,14.0
4844,LH_Default_pCunPCC_1__LH_SalVentAttn_FrOperIns_1,0.0016365142133432696,49.0,25.0
4843,RH_SalVentAttn_TempOccPar_1__LH_Vis_6,0.0016312033950674713,74.0,6.0
4842,RH_Vis_3__LH_SomMot_5,0.0015973479422212908,53.0,14.0
4841,RH_Default_Temp_1__RH_Cont_Par_1,0.0015935613564748452,91.0,81.0
4840,RH_Default_PFCdPFCm_2__RH_SalVentAttn_TempOccPar_1,0.0015878626327311596,97.0,74.0
4839,RH_Default_Par_1__LH_Cont_Par_1,0.0015735231580635322,90.0,34.0
4838,RH_Limbic_TempPole_1__LH_SalVentAttn_Med_2,0.0015637276812342647,80.0,29.0
4837,LH_Default_PFC_3__LH_DorsAttn_Post_5,0.001530961488875292,44.0,20.0
4836,LH_DorsAttn_Post_2__LH_Vis_9,0.0015277522254290915,17.0,9.0
4835,LH_Default_pCunPCC_1__LH_DorsAttn_Post_5,0.0015254663746667632,49.0,20.0
4834,RH_Vis_5__LH_SomMot_5,0.0015097719111970837,55.0,14.0
4833,RH_DorsAttn_FEF_1__LH_Default_PFC_3,0.0015000341176364378,73.0,44.0
4832,RH_DorsAttn_FEF_1__RH_Vis_3,0.0014688807809796493,73.0,53.0
4831,RH_Default_Par_1__LH_DorsAttn_PrCv_1,0.0014660791025481608,90.0,22.0
4830,RH_Cont_Par_1__LH_Limbic_OFC_1,0.0014613157885025008,81.0,31.0
4829,RH_Limbic_TempPole_1__LH_Cont_pCun_1,0.001442087619217475,80.0,36.0
4828,RH_Default_Temp_1__RH_SomMot_2,0.0014165259626079656,91.0,60.0
4827,LH_Default_pCunPCC_1__LH_DorsAttn_Post_6,0.001411669314475205,49.0,21.0
4826,RH_SomMot_6__LH_Vis_1,0.0013979585537961944,64.0,1.0
4825,RH_Vis_5__LH_Default_Temp_2,0.001382732970553025,55.0,39.0
4824,LH_Cont_pCun_1__LH_Limbic_TempPole_1,0.0013681840451503023,36.0,32.0
4823,LH_Default_PFC_2__LH_SalVentAttn_Med_3,0.0013672971047004314,43.0,30.0
