,True,Predicted
0,0.16805331458054756,0.42955855495563355
1,1.0146085149992332,1.230983769021691
2,-0.7033948946152402,-0.12832580770768232
3,1.2760224211690543,-0.036403356022987055
4,-2.325508511781018,-0.616128544339972
5,0.9081481598272083,1.7391239243119117
6,1.086910158034227,0.46735411507097524
7,0.7792184651689096,0.4081938852040139
8,0.8599654056966555,0.10257688879164562
9,-0.2774964492320976,0.1094781414492445
10,0.07377479784817598,0.5029877112547183
11,-0.7971872831615427,-1.5197278195083754
12,0.3561305376121078,-0.5451427058128502
13,0.1796179536905042,1.4902696052573674
14,-1.5264963342619475,-0.5978385232293704
15,1.0898366866030458,1.190518251305889
16,-0.003437845026789752,0.11160405724046996
17,0.8502626609517183,0.060022475952791865
18,-1.7756146283386998,-1.0895375760875368
19,-1.8978855263979555,-0.9037747479325162
20,-0.7499790173722104,-1.0207226506020106
21,1.2431261060503638,1.5742028708845623
22,1.9732554843287207,-0.5197484625062394
23,-1.4176082206916976,-1.3403077634496299
24,-0.4974232959509629,-0.4860175779473934
25,-0.045216739916980025,0.42602310939015053
26,0.3088051011724702,1.8494856928926993
27,0.3879704893215306,1.1232566745287613
28,0.25583166040005145,-0.3386732253536593
29,-0.7509783099341671,-0.6792676753099158
30,-1.6318709130105267,-0.584138755527249
31,-0.34178650582668607,-0.8426540517396575
32,1.3553257583537919,0.4006361485663916
33,0.34858806967527284,0.8312224976797893
