,Feature,Beta,Count
73,RH_Default_pCunPCC_4__LH_SalVentAttn_Med_2,5.92817545092879e-05,1.0
74,RH_Default_PFCdPFCm_7__LH_Vis_25,0.0015347670149811197,1.0
75,RH_Cont_PFCl_15__LH_Limbic_TempPole_5,0.00025150603588709134,1.0
76,PALLIDUM_RIGHT__LH_Limbic_OFC_1,0.00012228727215270782,1.0
77,RH_Default_pCunPCC_4__LH_DorsAttn_FEF_4,2.5754596376421596e-05,1.0
78,LH_Default_Par_1__LH_DorsAttn_Post_8,0.0003901263749718406,1.0
79,RH_Cont_Par_5__LH_Cont_PFCl_5,7.903963615104985e-05,1.0
80,LH_SalVentAttn_FrOperIns_1__LH_DorsAttn_Post_8,0.00014269708109418305,1.0
81,RH_Vis_27__LH_DorsAttn_FEF_4,0.00016367736840561852,1.0
82,RH_Default_Par_4__LH_Cont_PFCl_5,0.00014034264328985458,1.0
83,RH_Limbic_OFC_6__RH_Vis_13,0.00010957692903843869,1.0
84,RH_Default_Par_1__LH_DorsAttn_Post_15,0.0001316512788374941,1.0
85,LH_SalVentAttn_FrOperIns_1__LH_DorsAttn_Post_6,0.00029824958036164513,1.0
86,PALLIDUM_LEFT__LH_Default_pCunPCC_1,0.00011333091430243903,1.0
87,LH_Default_Temp_10__LH_SomMot_29,0.00040013871235857834,1.0
88,RH_Cont_PFCv_1__RH_Limbic_TempPole_5,0.0010349496239965466,1.0
89,RH_Cont_PFCv_1__LH_DorsAttn_Post_1,8.624974562655976e-05,1.0
90,PALLIDUM_LEFT__LH_Default_Par_2,0.0003519251793015443,1.0
91,RH_Limbic_OFC_2__LH_Limbic_OFC_1,3.839590494409793e-05,1.0
92,PALLIDUM_LEFT__LH_Default_PFC_8,0.00017086444908323963,1.0
93,PALLIDUM_LEFT__RH_Cont_PFCl_13,0.00016600565150090652,1.0
94,LH_Default_PFC_7__LH_Vis_3,0.00012539433749150496,1.0
95,CAUDATE_LEFT__LH_Default_PFC_16,0.00012654523615036875,1.0
96,RH_SalVentAttn_TempOccPar_5__RH_SomMot_2,2.8267961475865818e-05,1.0
97,RH_Default_PFCdPFCm_8__LH_SomMot_22,0.0054138485175218585,2.0
98,RH_Cont_PFCl_12__LH_Cont_Par_6,0.00038246248397087886,2.0
99,RH_Default_PFCdPFCm_4__RH_Limbic_OFC_2,8.327848551490443e-05,2.0
100,RH_Default_PFCdPFCm_10__LH_DorsAttn_PrCv_1,0.004152218406776707,2.0
101,BRAIN_STEM__LH_Default_pCunPCC_7,4.451130632693406e-05,2.0
102,LH_DorsAttn_Post_10__LH_Vis_24,0.00015097784747446994,2.0
103,RH_DorsAttn_Post_2__LH_Limbic_OFC_4,0.014581103687030446,2.0
104,RH_Cont_PFCmp_1__LH_Limbic_OFC_4,0.0001318814430024776,2.0
105,RH_SalVentAttn_FrOperIns_4__LH_DorsAttn_Post_10,6.28047504841869e-05,2.0
106,RH_Default_Temp_8__LH_Limbic_OFC_4,0.00010572802506009736,2.0
107,RH_Default_PFCdPFCm_7__LH_DorsAttn_PrCv_1,0.00430665927505057,2.0
108,BRAIN_STEM__LH_SomMot_9,0.0005106328563749428,2.0
109,PALLIDUM_LEFT__RH_Default_Temp_1,0.00016025135616891314,2.0
110,RH_DorsAttn_FEF_1__RH_SomMot_5,0.00040903809026474584,2.0
111,RH_Default_Par_1__LH_Limbic_TempPole_7,0.0002896385258949449,2.0
112,RH_Default_PFCdPFCm_7__LH_DorsAttn_Post_13,0.0019757388802197347,2.0
