,True,Predicted
0,0.16805331458054756,0.1275693221443055
1,1.0146085149992332,0.16041627431559666
2,-0.7033948946152402,-0.19759409687955795
3,1.2760224211690543,0.8601701391716431
4,-2.325508511781018,-0.505212840254337
5,0.9081481598272083,0.3959924216519536
6,1.086910158034227,0.3211182116383885
7,0.7792184651689096,-0.37078524912107824
8,0.8599654056966555,-0.12151288262162156
9,-0.2774964492320976,0.469407800144415
10,0.07377479784817598,0.2790744251489691
11,-0.7971872831615427,-0.8186182551838422
12,0.3561305376121078,-0.9922261093446441
13,0.1796179536905042,0.14008196216995308
14,-1.5264963342619475,0.15327258848398412
15,1.0898366866030458,0.39218966758611373
16,-0.003437845026789752,-0.19922128762694088
17,0.8502626609517183,0.9023263151494829
18,-1.7756146283386998,-0.3437178915442554
19,-1.8978855263979555,-0.04609957829873237
20,-0.7499790173722104,-1.2007536147121518
21,1.2431261060503638,-0.28814641598629553
22,1.9732554843287207,-0.444498317089515
23,-1.4176082206916976,-0.4200288408111221
24,-0.4974232959509629,-0.7796385866250573
25,-0.045216739916980025,0.23716861387185867
26,0.3088051011724702,0.22792566405308654
27,0.3879704893215306,-0.013427103399175121
28,0.25583166040005145,0.049397480729222
29,-0.7509783099341671,-1.142707764888042
30,-1.6318709130105267,-0.4464103120582497
31,-0.34178650582668607,0.29023640375511056
32,1.3553257583537919,0.821560935063684
33,0.34858806967527284,-0.3378293857023004
