,Predicted,True
0,-0.1967655612416448,0.31790177760942345
1,0.21511588069257664,0.881633402124919
2,0.1364711996991861,-0.6512907829837783
3,0.08937063500410908,1.4478396945834202
4,-0.23809357230106917,-2.15395181007147
5,-0.07774056638812338,0.7374567886320418
6,0.018885374830687605,0.8478748013197741
7,-0.1535916345533161,0.7143685754945691
8,-0.24327068548492833,1.0350615153234684
9,0.2357210080278076,-0.3866255482249646
10,0.17308210907345165,-0.07493136694447784
11,-0.1812076717431925,-0.7808595753931469
12,-0.24704359054176986,0.3821104389164605
13,0.11867235596683488,0.06965908595732913
14,-0.4348339504742233,-1.4789196150410173
15,0.33222371264764505,1.167313642580812
16,-0.4654612776738398,0.13306138863938755
17,0.23993754610394244,0.7288059313865222
18,-0.007509460099358744,-1.699460655843866
19,0.0023515536117263854,-1.8052971608657462
20,-0.6053114331394628,-0.7623359167239521
21,-0.026250617281896114,1.259789303108725
22,0.09328912711588253,2.0790551068467464
23,-0.24197735638261517,-1.3881679314485798
24,-0.40881757134654517,-0.5609322755338398
25,0.28365771642587445,0.012203050729586398
26,0.20515065177728922,0.34109404200461557
27,-0.03738747926462202,0.4381458428509873
28,0.12658171721010597,0.1662320694269522
29,-0.9032471293296286,-0.7735106650714826
30,-0.6365185080922786,-1.574708399064988
31,0.30228408082641367,-0.3155957169732755
32,0.19222160496202306,1.5134459062643568
