Subject,ConvMMI,PCC,SMA,VSTR,Kolling,M1,VMPFC
101,0,7893.07085252731,9466.84991238884,5628.00410806273,9971.02493451225,12748.6904397731,9738.57526544906
101,0,7905.10167963485,9453.16324775334,5618.80702098575,9948.2244655321,12700.7266951776,9703.56923826144
101,0,7874.24872329749,9411.24503686587,5594.66407000027,9916.51928174796,12591.1813175386,9661.71675447606
101,0,7884.65664676262,9370.24766979328,5604.42050182618,9889.8978788665,12586.1875547751,9669.25920760344
101,1.20273788161551e-05,7935.62236923269,9395.11461896669,5621.04298229215,9912.45864229044,12565.8325141407,9683.01371397675
101,0.000153526121950342,7936.28144067718,9401.44604633874,5631.13161065171,9929.20711912493,12557.768282029,9684.03188023845
101,0.000548159150584056,7977.10853444747,9414.07860302119,5632.04430803373,9949.87135475947,12589.5848482572,9738.39453917503
101,0.00115804743560409,7947.9527234865,9432.42704108793,5663.58124983333,9968.9445352253,12640.2003824174,9741.69958865103
101,0.00183895190177081,7931.44714669252,9472.07940203575,5678.05724647988,9998.57244869778,12675.6021970222,9722.04145100664
101,0.00244398143915245,7897.50217510021,9464.86277430521,5658.20077213857,9955.948736484,12689.1176170067,9689.21248733976
101,0.00278417462711713,7876.18482278321,9445.89489084075,5656.20426267934,9948.13402130339,12698.0562498957,9687.27657403093
101,0.0027233865579648,7888.91854116675,9440.52993974119,5633.94687005538,9945.1598476416,12657.6162987516,9707.66943359375
101,0.00232072876683913,7888.09111814127,9396.03993460529,5595.78248400221,9916.74011250084,12603.1438149998,9698.29317480092
101,0.0017528334299416,7920.67200526397,9402.65400343722,5624.72970872298,9963.21672103056,12569.5121000893,9705.08170087508
101,0.0011851567321057,7910.89046093416,9416.32132267642,5611.10403487957,9958.06469268881,12529.2407470008,9737.96148759653
101,0.000715542276299663,7916.65538408805,9418.12358098453,5604.49614507127,9965.26977970591,12473.2895827769,9751.09732012943
101,0.000397445113873828,7902.65047281842,9405.94325472236,5615.52528562127,9965.72660434521,12497.1306100177,9757.07581326714
101,0.000246067165710922,7880.66711858336,9390.26896323341,5620.00536664915,9957.91601980952,12582.9366741996,9730.24360122727
101,0.000227844753133836,7898.99977592221,9427.41407676637,5617.73021603268,9945.81279134725,12643.6091077321,9707.23310610275
101,0.000283778290539392,7867.36998862485,9401.10834586689,5608.0421440679,9914.78862626373,12655.0491839026,9671.95687076803
101,0.000340037300742501,7896.77563529528,9427.59070637695,5641.15469945876,9960.46392681692,12660.7601200115,9691.01109633752
101,0.000340804980780837,7928.52946817951,9434.40329647007,5606.28638143245,9964.21704899237,12658.3307721173,9698.04997250013
101,0.000281187733187548,7945.4390095598,9394.43567048432,5615.16770249053,10012.9216103291,12610.2165306504,9748.94204639474
101,0.000189077149216593,7986.14430563138,9400.98374425046,5644.74413194414,10024.217994694,12549.3469547804,9814.94581524444
101,9.5212457810926e-05,7968.97105546048,9393.23581580589,5651.02402293748,10004.5569910786,12504.2777889067,9794.97057226285
101,2.37901838592079e-05,7990.55755346794,9422.49996267292,5659.32886370682,10042.7036219118,12503.2556854857,9824.96780910016
101,3.37138292647187e-05,7978.98699698781,9408.94989689126,5636.69506242166,10029.3384006135,12537.2581780154,9812.61983406561
101,0.0001787751000107,7947.23123900236,9377.54115907044,5645.42262204045,10007.8501198865,12593.2880509857,9798.10380687005
101,0.000436960699172667,7958.64815251144,9405.00869789452,5641.2052772293,9996.49175649438,12652.2826948465,9801.71053768196
101,0.000738171436781218,7951.30063560987,9424.43651151629,5630.93872497411,10003.8854555478,12661.1946731089,9786.50097170842
101,0.0010120971366823,7955.85610164416,9435.2674868593,5653.88088319529,9976.41845520052,12687.5156569956,9752.39651478732
101,0.00117074686631103,7993.34119238981,9477.62467969063,5642.66631639958,10033.3909017014,12738.0227659394,9791.42291139652
101,0.00115093423871517,8036.70077751992,9484.39435301806,5647.63906112495,10048.0443658568,12765.9833786141,9842.38271254549
101,0.000978033383652488,8006.06429348904,9422.86011831708,5640.32259216439,9989.84260396441,12707.7096893224,9802.3029765839
101,0.000730767337154031,7959.93749739986,9362.84150930011,5636.65292849301,9980.2468830552,12636.2988114316,9750.02778933512
101,0.000534281718190487,7928.6791425613,9349.28868033711,5641.30306056715,9962.48911135428,12531.4030819102,9756.5790980953
101,0.000933495280710879,7885.73196193852,9348.18481117968,5607.1322252569,9921.98894449652,12488.7077591508,9728.35246852968
101,0.00246362496535727,7880.4241128086,9379.29647515072,5610.36234871684,9928.30491869476,12548.7017502309,9706.05671571471
101,0.00495903679241625,7854.05867417789,9439.8000260117,5638.77553236615,9948.20374901664,12590.4601146557,9705.96022543556
101,0.00774396318617196,7887.44447014984,9476.89218179345,5636.24467744964,9947.81124150542,12639.7152777778,9711.79930630183
101,0.00973395335550006,7918.882461914,9464.6835215387,5640.3739886446,9977.7030261407,12665.4114569422,9716.4191794973
101,0.010086731241113,7892.19652625336,9422.69936903548,5609.2993209203,9947.22094059655,12647.2663080373,9693.10498641253
101,0.00890696896419355,7928.81565333193,9421.69219607937,5612.60995772905,9981.63694366798,12620.0125979345,9709.32443223064
101,0.00689354923855068,7901.67200043284,9382.5104781619,5626.43016612813,9959.45535744175,12549.3467017714,9700.4881385003
101,0.00475463819147003,7867.29676767186,9368.877470623,5617.77510207307,9959.04185200606,12536.6073643176,9668.74634338862
101,0.00292256981909861,7870.76164907579,9402.79531830426,5617.5168806002,9955.63811481069,12549.0661083776,9667.23509667354
101,0.00161557577531335,7848.93874681691,9402.96779982052,5629.35976168042,9931.19827827899,12573.4756572321,9687.52755425876
101,0.00144782617875081,7896.32384256382,9452.6958700611,5644.08275044224,9948.74915106538,12654.7767290512,9687.03161534414
101,0.00299374558560527,7906.7015283033,9456.29348282798,5657.85154527717,9941.22279538531,12678.8000185714,9715.17100701049
101,0.00594708533870539,7921.83367932361,9487.94398269821,5657.11883526692,9962.79464360438,12740.0064279931,9728.84198737304
101,0.00944501478834452,7901.76693229432,9498.3657420038,5670.02417065107,9957.67994118656,12752.6171410715,9680.56980301928
101,0.0126332755188385,7892.46660764234,9466.33696897826,5657.42440536775,9968.79830976751,12731.7942391855,9688.89569642834
101,0.0144523927016671,7927.520232101,9418.91979386851,5624.6324231806,9943.42241009557,12717.6367004916,9734.05094866638
101,0.0141420950588087,7925.06383750092,9379.33453509606,5613.53234371944,9921.23906480149,12616.7246483262,9754.01255285999
101,0.0120056487807002,7908.223560811,9344.46005142148,5587.81973747955,9918.80879722231,12539.3262478646,9714.82504305276
101,0.0089866902392222,7927.27503071379,9379.59674779477,5583.55692598237,9968.22563562868,12506.1683624355,9723.22176765539
101,0.00598892077884156,7908.99386112563,9375.98798361048,5590.60551389049,9936.55096589197,12512.728776459,9705.97685404224
101,0.00368673556509187,7887.04345199147,9397.68157447203,5620.15139698023,9940.99583692505,12567.6002444188,9691.26215363632
101,0.00240417613456537,7886.46034980339,9448.36693099844,5643.22793046531,9948.89278578184,12627.1898605477,9690.04582770656
101,0.00203162493909932,7905.6642959993,9485.9809888863,5647.59596042582,9965.31272282572,12685.0900454616,9695.54670223423
101,0.00223084134880619,7936.57944439622,9515.6976557028,5656.57083161568,9973.00097133185,12761.2491060349,9749.66191085286
101,0.00267200418748387,7905.10304881901,9511.86959988493,5670.45309194327,9972.89472269182,12777.5438465434,9724.97753252435
101,0.00312233652774787,7934.22775984998,9515.81434026431,5689.14906724461,9999.02268271709,12790.167924756,9695.59326330376
101,0.00332148264689285,7944.67124846174,9493.36281710433,5666.88046699994,9996.05906137018,12760.4869332599,9729.47623757354
101,0.00307360073230481,7933.50879862846,9435.20837805418,5620.0430384747,9969.06362092846,12696.7336730088,9714.12354080284
101,0.00244134159474961,7951.47887951667,9436.5979970795,5616.41815306211,10010.118103387,12617.0471549618,9745.24808570767
101,0.00164494721449117,7946.92732782171,9387.54747233105,5632.01043273205,10009.9348632289,12524.1032869605,9741.5613355151
101,0.00116273053507786,7934.6106751359,9413.4397466605,5642.10692414897,10011.42622324,12508.7142050545,9755.94840950481
101,0.00362645422017227,7948.00060779155,9466.5806573788,5623.89802054073,9987.52215494443,12606.3441501194,9768.27562035197
101,0.0117309131766243,7897.00381238803,9453.18422381554,5639.2203667936,9983.00490478123,12644.8476136471,9760.48393793429
101,0.0246371066698225,7896.34059149988,9431.13210054939,5627.1499642904,9901.30497570886,12678.4906169315,9725.30749593446
101,0.038922576648249,7896.38303691485,9409.68664040221,5631.09307198978,9911.66930727353,12685.2173498431,9649.43304761599
101,0.0491222282822136,7878.37588286104,9400.79205794961,5597.38623234382,9937.47594632934,12650.8354547832,9651.32225661027
