Subject,block_vec,SMA__PCC,VSTR__PCC,VSTR__SMA,Kolling__PCC,Kolling__SMA,Kolling__VSTR,M1__PCC,M1__SMA,M1__VSTR,M1__Kolling,VMPFC__PCC,VMPFC__SMA,VMPFC__VSTR,VMPFC__Kolling,VMPFC__M1
123,3,0.21603910183894,0.399022622984624,0.704430599668166,0.346273652531532,0.8070313045105,0.606419918480073,0.162763287782272,1.02779247619923,0.578058077858479,0.422240005402683,0.966449016524612,0.298367214632487,0.478789637370174,0.584517760907236,0.185175181052319
124,3,0.941054252160851,0.912084869924332,0.777663098864885,0.873149238131008,0.976432849425307,1.26931202716437,0.822637178612581,0.832311008177962,0.792597215818319,0.753519207011623,0.316457692048977,0.172618884922298,0.28757474113331,0.262678931985492,0.39054722846364
126,3,0.276138086533169,0.415265753660057,0.459247030915729,0.229823766783225,0.471190227767045,0.555443950611517,0.385651242932399,0.739526835114686,0.161862981275526,0.0738270810269582,0.609653882704494,0.0386622565532108,0.462755834187523,0.49777567318103,0.0157970318442908
128,3,0.845415754534791,0.828979805883005,0.930939784600962,0.6871496651543,0.800574575637807,0.696108976655367,0.534982714488086,1.16173347211781,0.627857307866138,0.462707301636743,1.0047607992232,0.481500511282078,0.60348579444117,0.679100968201082,0.131565408005467
129,3,0.125344363406452,0.151909017843634,0.473782113923703,0.462480794960232,0.241875053185998,0.234608663544346,-0.0514911714622445,0.564724585122871,0.10221994757795,-0.0115278059362961,0.637416190441012,-0.0527112940309143,0.184842403566887,0.586280108462001,-0.0737829000996675
130,3,0.473886221472486,0.601963597692579,0.761352280361531,0.652682797077874,0.888649888284451,0.799023962350344,0.388104143987992,0.840021573179876,0.429763320838943,0.387044319900651,0.793971417780452,0.576873289515748,0.737726880243032,1.10949817407097,0.232688596277466
131,3,0.377297111762463,0.412755362464507,0.587729143175907,0.69764277784984,0.680757521158892,0.456283414505899,0.469231115733142,1.16126713135033,0.57468409459618,0.455471537223967,0.690543154596472,-0.0602149051187353,0.148564881718756,0.409779752942551,-0.0672528271987143
132,3,0.689895761915209,0.810581210010568,0.939348798558612,0.859830996411123,1.27285988387663,1.07626093851253,0.578123774480171,0.916387997993019,0.619641478563709,0.686854330420334,1.06569075183819,0.758260314092538,0.939841271749739,1.09532738223836,0.459715168532197
133,3,0.299829104599835,0.384898183606669,0.596990491402508,0.424990875082801,0.725860298419978,0.423103455348674,0.00425954697846275,0.674364666455037,0.4493178066575,0.226489771657668,0.686129837848958,0.145641993497244,0.338592419746194,0.452424431148128,-0.0549342287827832
134,3,0.551669587220334,0.454233076371144,0.775318954379524,0.51493262405508,0.76651321126189,1.04607764419989,0.411154009584832,1.21327459509171,0.581972320940175,0.497072070648198,0.496759810021568,0.432340852185466,0.880522286697211,1.14734475939481,0.288797246033084
