Subject,SMA__PCC,VSTR__PCC,VSTR__SMA,Kolling__PCC,Kolling__SMA,Kolling__VSTR,M1__PCC,M1__SMA,M1__VSTR,M1__Kolling,VMPFC__PCC,VMPFC__SMA,VMPFC__VSTR,VMPFC__Kolling,VMPFC__M1
101,0.680069702186645,0.639156789855456,0.678019723728958,0.781609867007865,0.795565634550346,0.750554912490293,0.603778786284548,1.09937788713374,0.454736898943993,0.457926166122501,0.909112177827511,0.438969911400984,0.596864809903003,1.01054727808818,0.194164072142925
102,0.601605780005585,0.535102179690659,0.481564391548053,0.607613919497669,0.490954206700985,0.476776477590454,0.423799575750554,1.06474158892989,0.359683390998731,0.124987554779719,0.534821436209105,0.179498850734184,0.476962918396719,0.862204888603107,-0.0620380379300011
105,0.437814604063917,0.311554529447143,0.619133016381532,0.562798541578036,0.713544031103865,0.584888477224184,0.131229339238707,0.836257665000974,0.377466635120242,0.132583632925237,0.483302965541384,0.317209043415233,0.562489465721425,1.07010352404375,-0.0263831669927447
106,0.0494827244624801,0.381394747303087,0.349913847471113,0.292739238928527,0.537233370061675,0.337167698713637,0.121535812192563,1.51633106788804,0.336717760731235,0.367303705142363,0.936315906026826,-0.283544011876649,0.341489370860656,0.203591560851499,-0.226619846742532
107,-0.16880715623995,0.266824807358126,0.508606501254477,0.141159134218415,0.607371426241175,0.50347955885447,-0.059295722766484,1.18258355490087,0.452990498208468,0.43397417068264,0.900888231681469,-0.20763989006526,0.3241291080009,0.237932564604086,-0.138742502661615
108,0.090880943788586,0.304881779276273,0.414763858142117,0.137913972632088,0.325469248113619,0.278302738262328,-0.00869428179040772,0.932211477801102,0.289262540903597,0.271664131274164,0.636051508504562,-0.0725224073720845,0.321733386264762,0.304896918669084,-0.22646668004988
109,0.684194098842426,0.559394631029187,0.721926298910291,0.827219076624938,1.1286353828732,0.838926258860184,0.54288064501824,1.22196831664318,0.524143399303747,0.787473596997946,0.582800680870778,0.764277289893206,0.847983113878165,1.07998396106454,0.523085332964755
110,0.251031339179286,0.410036873956471,0.386721119915239,0.471653840846688,0.910636982748208,0.460048924074655,0.0245547314988052,0.932720340705829,0.297545870805117,0.409489925540535,1.01967576228249,0.102436451192136,0.507142043411106,0.465238552217823,-0.0884158072695403
111,0.0279372099019407,0.194040207628641,0.298932318796321,0.392417712905835,0.156010972953092,0.332808138877626,-0.062402374409912,1.19830185188661,0.221766206432213,-0.0420597269977927,0.72584483840341,-0.310108888209331,0.20729474224837,0.662255504679205,-0.435585554257522
112,0.0269088210471181,0.291480350858924,0.385194555780553,0.33290638375226,0.512462220359415,0.373250392133398,-0.271835135439334,0.838828569247402,0.281429474882663,0.151975066514649,1.00105515504987,-0.118333098155093,0.274085565445468,0.309370930523623,-0.38504885293105
113,0.342804305605105,0.202163887305462,0.300270104661638,0.450935888298769,0.583078196343166,0.281025074413186,0.247212660909794,0.946629955114234,0.271296396846101,0.206014695333103,0.481527158012215,0.16441561351788,0.223608506432846,0.781769328555823,-0.121536610055669
114,0.259458452157595,0.181646977125208,0.416366613449054,0.402370037054122,0.584247499287048,0.396699393780111,0.138468091299366,0.583288527308887,0.109575105826777,0.0551321782211588,0.476010356307583,-0.0125504941341036,0.250355288923484,0.542074796377696,-0.294916478558704
115,0.195228764187189,0.335521263625642,0.595505950560526,0.601937056731292,0.45417771017335,0.445658186023585,0.107631969239468,1.14576948987886,0.509448635078309,0.262419737990002,0.815398255817451,-0.0026820511213144,0.292222958578336,0.53599016732968,-0.0767527812607563
116,0.0763399374151237,0.309443389781692,0.576491271253778,0.366446111319618,0.466528410491167,0.450208490291254,0.124931657721361,1.09549143938592,0.565564259836764,0.244327686573402,0.74506031215384,-0.210129781014715,0.212252766112324,0.294604204866606,-0.105616951826286
117,0.294769462507979,0.285832287667118,0.532198168619648,0.542083778759133,0.758223900117463,0.334102916713231,0.229531211010679,1.12927054737777,0.558413587145795,0.483320776870434,0.814451768508055,0.077941409895672,0.181653049373903,0.529776105295716,-0.0564714587442022
